Species Name,Eco-regions,Source,Scientific Name,Kingdom,Phylum,Class,Order,Family,Genus,Species,Canonical Name,Authorship,Status,Rank,Match Type,Basionym,Common Names
Adina cordifolia,"north deccan dry deciduous forests, upper gangetic plains moist deciduous forests, south western ghats moist deciduous forests, malabar coast moist forests, chota nagpur dry deciduous forests","ERA dataset, A Trees dataset",Adina cordifolia (Roxb.) Brandis,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,Adina,Adina cordifolia,Adina cordifolia,,ACCEPTED,SPECIES,EXACT,,No common names found
Albizia odoratissima,"south western ghats moist deciduous forests, chota nagpur dry deciduous forests","ERA dataset, A Trees dataset",Albizia odoratissima (L.f.) Benth.,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Albizia,Albizia odoratissima,Albizia odoratissima,,ACCEPTED,SPECIES,EXACT,,"Kunnivaka, Koroi, Sirolu, Kala siris, Siris, Karivaka, Nellivaga, Karinthakara, Black siris, Ceylon rosewood, Bilvaara, Pulivaka, Mellivaka"
Alstonia scholaris,"orissa semi evergreen forests, south western ghats moist deciduous forests, chota nagpur dry deciduous forests","ERA dataset, A Trees dataset",Alstonia scholaris (L.) R.Br.,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Alstonia,Alstonia scholaris,Alstonia scholaris,,ACCEPTED,SPECIES,EXACT,,"Shaitan Wood, Devil Tree, ఏడాకులయరటిచెట్టు Edakulayaraticettu, Mangalappala, Sotiyana, Ezhilamppala, Australian Quinine Bark Tree, సప్తవర్ణము Saptavarnamu, Chatim, Chatiyan Wood, Devil's Tree, Ezilai Paalai, முகும்பலை Mukumpalai, Shaitan, Satvin, Janthalla, Yekshippala, Doddapala, शैतान का झाड़ Shaitan Ka Jhar, Dita Bark Tree, Pala, Elilaipalai, सप्तपर्ण Saptaparna, Chatiyana, Blackboard Tree, Alstonia, Ezhilampala, चितवन Chitvan, Maddaale, Palegaruda, White Cheesewood Tree, ""ছাতিম"" --- ""chatim"", Bitter-bark Tree, Janthaila, ஏழிலை Paalai, Yezhilai paalai, Mukam Palei, Dita bark, Palai, Hale, Mukumpaalai, Daivappala"
Anogeissus latifolia,"north deccan dry deciduous forests, south western ghats moist deciduous forests, na, deccan thorn scrub forests, malabar coast moist forests, east deccan moist deciduous forests, north western ghats moist deciduous forests, south deccan plateau dry deciduous forests, central deccan plateau dry deciduous forests, chota nagpur dry deciduous forests, narmada valley dry deciduous forests, lower gangetic plains moist deciduous forests, himalayan subtropical broadleaved forests, orissa semi evergreen forests","ERA dataset, A Trees dataset",Anogeissus latifolia (Roxb. ex DC.) Wall. ex Guill. & Perr.,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Combretaceae,Terminalia,Terminalia anogeissiana,Anogeissus latifolia,,SYNONYM,SPECIES,EXACT,,"शकटाय Shakataaya, Dawu, Ghatti tree, ધાવડો Dhavado, Kalkanjiram, Vejjai Vellainagamaram, Vellanava, ದಿಣ್ಡಿಗ Dindiga, धावडा Dhavada, Maru Kanchiram, ધવ Dhav, Dhavada, വെക്കാലി Vekkaali, Malakanjiram, Dohu, Mazhukanjiram, Njama, Jindalu, Marukanchiram, धुरंधर Dhurandhara, Button tree, മഴുക്കാഞ്ഞിരം Mazhukkaanjiram, ഞാമ Njaama, Vejjai, Dhawa, धवः Dhavaha, Chakwa, Dhaoya, Vellainagai, வெட்காலி Vet-kali, इन्द्रवृक्ष Indravruksha, Dhaura, Vekkaali, Dindiga tree, Axle wood, Indian Gum Tree, வெள்ளைநாகை Vellainakai, Vekkali, Vekk Aali, വെള്ള നവ Ella Nava, Bakli, Dindiga, Button Tree, Indian sumac, കൊരട്ടിക്കാഞ്ഞിരം Korattikkaanjiram, చిరిమాను Chirimanu, धौरा Dhaura, Ghatti Tree, Korattykanjiram, நமை Namai, Axle Wood Tree, Axle-wood Tree"
Butea monosperma,"north deccan dry deciduous forests, na, malabar coast moist forests, chota nagpur dry deciduous forests, south deccan plateau dry deciduous forests, lower gangetic plains moist deciduous forests, khathiar gir dry deciduous forests","ERA dataset, A Trees dataset",Butea monosperma (Lam.) Kuntze,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Butea,Butea monosperma,Butea monosperma,,ACCEPTED,SPECIES,EXACT,,"Plasu, Muthagai, Porasu, Polash, Flame of Forest, পাঙ গোঙ Pangong, Chamatha, Palash पलाश, Bastartd Teak, Bengal Kino, Dhak, Bengal kino tree, Muthuga, Palasinsamatha, Mukkappuyam, Forest flame, Palash, पळस Palas, Dhak ढाक, Khakharo/ Keshudo, Tesu टेसू, Kesu Or Parrot Tree, Flame Of The Forest, Bastard teak, Brahmavriksham"
Dalbergia sissoo,"chota nagpur dry deciduous forests, lower gangetic plains moist deciduous forests, na","ERA dataset, A Trees dataset",Dalbergia sissoo Roxb. ex DC.,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Dalbergia,Dalbergia sissoo,Dalbergia sissoo,,ACCEPTED,SPECIES,EXACT,,"विलायती शीशम Vilayati Shisham, Sisu-goch, Bombay Blackwood, தோதகத்தி Totakatti, ഈട്ടി Iitti, Malabar Rosewood, Java Palisandre, വീട്ടി Viitti, Indian Palisandre, കരിവീട്ടി Karivittti, Sisu, काळारुख Kalarukh, काला शीशम Kala-shisham, Indian Rosewood, Blackwood Tree, सीसो Siso, शिसव Sisau, Indian Blackwood, East Indian Rosewood, Roseta Rosewood, ఇరుగుడుచెట్టు Iruguducettu, நூக்கம் Nukkam, ಬೀಟೆ Beete, शिंशपा Shinshapa, Shisham, Black Rosewood, Sissoo"
Diospyros melanoxylon,"north deccan dry deciduous forests, na, deccan thorn scrub forests, chota nagpur dry deciduous forests, narmada valley dry deciduous forests, khathiar gir dry deciduous forests, orissa semi evergreen forests","ERA dataset, A Trees dataset",Diospyros melanoxylon Roxb.,Plantae,Tracheophyta,Magnoliopsida,Ericales,Ebenaceae,Diospyros,Diospyros melanoxylon,Diospyros melanoxylon,,ACCEPTED,SPECIES,EXACT,,"'karimar' 'करिमर', Kaarai, Persimmon ebony, Karai, Coromandel ebony, Tendu, Abanasi, Balai, Ebony of Northern India, Tendu Leaves, Beddiyilamaram, Malabar Ebony, Nepal Ebony, East Indian Ebony, Tumbi, Karumthumbi, Karundumbi, Ebony, Tuniki, Thumbi, Abnush, आबनूस Abnus, Ebony Persimmon, Kend, Black Ebony, Kari, Beedi elai, Temru, Tupra/Beedi mara, Kakkapanachi, Timburni, Thambbilpazham, Beediyilamaram, Thumbimaram, Coromandel Ebony, दीर्घपत्रक Dirghapatraka, Beedi Aaku, Malabar ebony, Kendu Leaves, Kendu"
Diospyros montana,"north deccan dry deciduous forests, north western ghats moist deciduous forests, south deccan plateau dry deciduous forests, chota nagpur dry deciduous forests, orissa semi evergreen forests","ERA dataset, A Trees dataset",Diospyros montana Roxb.,Plantae,Tracheophyta,Magnoliopsida,Ericales,Ebenaceae,Diospyros,Diospyros montana,Diospyros montana,,ACCEPTED,SPECIES,EXACT,,"Bankini, Bistendu, Mottled ebony, Vakkanai, Malayakathitholi, Bali, Mountain persimmon, Vakkanatthi, Karunthuvalisu, Nanchimaram, Jagalkanti, Manjakara, Vakanai"
Ficus bengalensis,chota nagpur dry deciduous forests,ERA dataset,Ficus benghalensis L.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Moraceae,Ficus,Ficus benghalensis,Ficus benghalensis,,ACCEPTED,SPECIES,FUZZY,,No common names found
Ficus glaberrima,chota nagpur dry deciduous forests,ERA dataset,Ficus glaberrima Blume,Plantae,Tracheophyta,Magnoliopsida,Rosales,Moraceae,Ficus,Ficus glaberrima,Ficus glaberrima,,ACCEPTED,SPECIES,EXACT,,Dieng-tharlat
