                                                  Brahmaputra_Valley_semi_evergreen_forests.wkt	Western_Himalayan_broadleaf_forests.wkt	Northeast_Himalayan_subalpine_conifer_forests.wkt	South_Western_Ghats_montane_rain_forests.wkt	Narmada_Valley_dry_deciduous_forests.wkt	Mizoram_Manipur_Kachin_rain_forests.wkt	Khathiar_Gir_dry_deciduous_forests.wkt	Aravalli_west_thorn_scrub_forests.wkt	Maldives_Lakshadweep_Chagos_Archipelago_tropical_moist_forests.wkt	East_Deccan_moist_deciduous_forests.wkt	East_Deccan_dry_evergreen_forests.wkt	Central_Deccan_Plateau_dry_deciduous_forests.wkt	Eastern_Himalayan_broadleaf_forests.wkt	Central_Tibetan_Plateau_alpine_steppe.wkt	Terai_Duar_savanna_and_grasslands.wkt	Nicobar_Islands_rain_forests.wkt	Eastern_Himalayan_alpine_shrub_and_meadows.wkt	North_Western_Ghats_montane_rain_forests.wkt	Chhota_Nagpur_dry_deciduous_forests.wkt	Rann_of_Kutch_seasonal_salt_marsh.wkt	Northwestern_Himalayan_alpine_shrub_and_meadows.wkt	Upper_Gangetic_Plains_moist_deciduous_forests.wkt	North_Deccan_dry_deciduous_forests.wkt	Northeast_India_Myanmar_pine_forests.wkt	Sundarbans_mangroves.wkt	Karakoram_West_Tibetan_Plateau_alpine_steppe.wkt	Baluchistan_xeric_woodlands.wkt	Indus_River_Delta_Arabian_Sea_mangroves.wkt	Meghalaya_subtropical_forests.wkt	Chin_Hills_Arakan_Yoma_montane_forests.wkt	North_Western_Ghats_moist_deciduous_forests.wkt	Northern_Triangle_temperate_forests.wkt	Malabar_Coast_moist_forests.wkt	Andaman_Islands_rain_forests.wkt	Western_Himalayan_alpine_shrub_and_meadows.wkt	Eastern_Himalayan_subalpine_conifer_forests.wkt	Deccan_thorn_scrub_forests.wkt	Western_Himalayan_subalpine_conifer_forests.wkt	Lower_Gangetic_Plains_moist_deciduous_forests.wkt	South_Western_Ghats_moist_deciduous_forests.wkt	Thar_desert.wkt	Godavari_Krishna_mangroves.wkt	North_Tibetan_Plateau_Kunlun_Mountains_alpine_desert.wkt	Himalayan_subtropical_broadleaf_forests.wkt	South_Deccan_Plateau_dry_deciduous_forests.wkt	Orissa_semi_evergreen_forests.wkt	Sundarbans_freshwater_swamp_forests.wkt	Himalayan_subtropical_pine_forests.wkt
Brahmaputra_Valley_semi_evergreen_forests.wkt     	1.0000	0.6936	0.4884	0.6624	0.8819	0.9832	0.8946	0.9090	0.2263	0.9082	0.7118	0.8568	0.8204	0.4561	0.9757	0.2897	0.4468	0.7194	0.9237	0.8783	0.4758	0.9160	0.9067	0.8631	0.9568	0.4559	0.8457	0.8406	0.9836	0.9244	0.7724	0.8428	0.5545	0.4003	0.4031	0.5681	0.7868	0.7000	0.9648	0.6273	0.8925	0.7679	0.4746	0.9576	0.7119	0.8845	0.9522	0.8896
Western_Himalayan_broadleaf_forests.wkt           	0.6936	1.0000	0.9408	0.2672	0.5883	0.7168	0.6095	0.6745	-0.3126	0.5761	0.1487	0.4677	0.9520	0.9380	0.7067	-0.1882	0.9267	0.2582	0.6498	0.5590	0.9587	0.6644	0.5627	0.9217	0.5338	0.9478	0.8427	0.4703	0.7234	0.7801	0.2918	0.9340	-0.0720	-0.2698	0.9240	0.9585	0.3319	0.9969	0.6145	0.0987	0.6603	0.2254	0.9432	0.8409	0.2301	0.4197	0.5749	0.9416
Northeast_Himalayan_subalpine_conifer_forests.wkt 	0.4884	0.9408	1.0000	0.1036	0.3910	0.5445	0.4170	0.4864	-0.5036	0.3651	-0.1059	0.2555	0.8910	0.9946	0.5176	-0.4002	0.9983	0.0983	0.4469	0.3728	0.9677	0.4605	0.3532	0.8432	0.2953	0.9773	0.6948	0.2397	0.5517	0.6404	0.1157	0.8537	-0.2655	-0.4680	0.9889	0.9941	0.1222	0.9344	0.4009	-0.0982	0.4827	-0.0263	0.9885	0.6967	0.0314	0.1790	0.3501	0.8129
South_Western_Ghats_montane_rain_forests.wkt      	0.6624	0.2672	0.1036	1.0000	0.6831	0.7157	0.6463	0.5590	0.5994	0.6795	0.8043	0.7364	0.4219	0.0279	0.6180	0.7063	0.0789	0.9119	0.6083	0.6389	0.0250	0.5793	0.6678	0.5190	0.6983	-0.0037	0.4239	0.6776	0.6610	0.7066	0.8911	0.4468	0.8884	0.7735	0.0370	0.1887	0.8197	0.2452	0.6725	0.9562	0.5259	0.7313	0.0141	0.5702	0.8780	0.7229	0.7123	0.4762
Narmada_Valley_dry_deciduous_forests.wkt          	0.8819	0.5883	0.3910	0.6831	1.0000	0.8997	0.9958	0.9707	0.2233	0.9853	0.8261	0.9789	0.6684	0.3623	0.9395	0.2370	0.3503	0.8154	0.9779	0.9882	0.3758	0.9777	0.9790	0.7186	0.9257	0.3664	0.8874	0.9673	0.8307	0.8688	0.8779	0.6605	0.6036	0.3715	0.2902	0.4536	0.9306	0.6132	0.9628	0.7075	0.9566	0.8706	0.3821	0.8743	0.8534	0.9257	0.9519	0.7964
Mizoram_Manipur_Kachin_rain_forests.wkt           	0.9832	0.7168	0.5445	0.7157	0.8997	1.0000	0.9061	0.9053	0.1776	0.9147	0.7036	0.8711	0.8512	0.5020	0.9725	0.2571	0.5059	0.7744	0.9231	0.8899	0.5027	0.9107	0.9119	0.8989	0.9360	0.4881	0.8496	0.8403	0.9813	0.9715	0.8173	0.8626	0.5706	0.3884	0.4542	0.6220	0.8105	0.7195	0.9589	0.6571	0.8900	0.7557	0.5129	0.9695	0.7421	0.8735	0.9449	0.9018
Khathiar_Gir_dry_deciduous_forests.wkt            	0.8946	0.6095	0.4170	0.6463	0.9958	0.9061	1.0000	0.9850	0.1968	0.9887	0.8075	0.9725	0.6894	0.3921	0.9551	0.1999	0.3759	0.7895	0.9886	0.9935	0.4008	0.9866	0.9836	0.7347	0.9321	0.3943	0.9043	0.9623	0.8420	0.8693	0.8566	0.6800	0.5724	0.3381	0.3137	0.4778	0.9133	0.6368	0.9712	0.6729	0.9747	0.8627	0.4144	0.8934	0.8288	0.9267	0.9562	0.8150
Aravalli_west_thorn_scrub_forests.wkt             	0.9090	0.6745	0.4864	0.5590	0.9707	0.9053	0.9850	1.0000	0.1356	0.9711	0.7476	0.9321	0.7367	0.4710	0.9699	0.1371	0.4436	0.6967	0.9909	0.9803	0.4830	0.9942	0.9689	0.7717	0.9170	0.4777	0.9410	0.9355	0.8511	0.8642	0.7744	0.7241	0.4720	0.2465	0.3877	0.5412	0.8532	0.7056	0.9686	0.5816	0.9954	0.8197	0.4974	0.9215	0.7563	0.9074	0.9420	0.8584
Maldives_Lakshadweep_Chagos_Archipelago_tropical_moist_forests.wkt	0.2263	-0.3126	-0.5036	0.5994	0.2233	0.1776	0.1968	0.1356	1.0000	0.2610	0.6285	0.3321	-0.2099	-0.5441	0.1499	0.9275	-0.5213	0.4534	0.1827	0.2182	-0.5104	0.1589	0.2667	-0.1155	0.3366	-0.5440	-0.0592	0.2882	0.1507	0.0544	0.4480	-0.1441	0.7031	0.8439	-0.5257	-0.4461	0.4510	-0.3223	0.2345	0.7037	0.1296	0.5285	-0.5437	0.0129	0.5640	0.4123	0.2782	-0.0989
East_Deccan_moist_deciduous_forests.wkt           	0.9082	0.5761	0.3651	0.6795	0.9853	0.9147	0.9887	0.9711	0.2610	1.0000	0.8482	0.9828	0.6652	0.3363	0.9556	0.2727	0.3213	0.8107	0.9911	0.9815	0.3523	0.9731	0.9984	0.7182	0.9564	0.3402	0.8704	0.9606	0.8526	0.8737	0.8747	0.6630	0.6217	0.4115	0.2622	0.4312	0.9289	0.6007	0.9807	0.7114	0.9620	0.9019	0.3583	0.8838	0.8506	0.9605	0.9712	0.7964
