Eco-region,Genus List
north deccan dry deciduous forests,"Adina, Aegle, Albizia, Anogeissus, Boswellia, Bridelia, Butea, Careya, Cleistanthus, Cochlospermum, Dalbergia, Dendrocalamus, Diospyros, Elaeodendron, Euphorbia, Flacourtia, Garuga, Kydia, Madhuca, Mitragyna, Pterocarpus, Senegalia, Shorea, Soymida, Spondias, Sterculia, Stereospermum, Syzygium, Tectona, Terminalia, Trema"
upper gangetic plains moist deciduous forests,"Adina, Dillenia, Lagerstroemia, Saccharum, Shorea, Stereospermum, Terminalia, Tripidium, Vetiveria"
south western ghats moist deciduous forests,"Actinodaphne, Adina, Albizia, Alstonia, Antidesma, Aporosa, Bischofia, Bombax, Bridelia, Casearia, Dalbergia, Diospyros, Elaeodendron, Ficus, Grewia, Holoptelea, Hopea, Hydnocarpus, Hymenodictyon, Lagerstroemia, Lannea, Machilus, Mallotus, Miliusa, Polyalthia, Pterocarpus, Radermachera, Schleichera, Semecarpus, Spondias, Sterculia, Syzygium, Tectona, Terminalia, Tetrameles, Toona, Viburnum, Vitex, Xylia"
malabar coast moist forests,"Actinodaphne, Adina, Anacolosa, Antidesma, Aporosa, Bauhinia, Bombax, Bridelia, Butea, Careya, Carissa, Casearia, Dalbergia, Dillenia, Diospyros, Dipterocarpus, Dysoxylum, Erythrina, Ficus, Flacourtia, Garuga, Holigarna, Hopea, Humboldtia, Hydnocarpus, Lagerstroemia, Lannea, Macaranga, Machilus, Madhuca, Mangifera, Melia, Meyna, Miliusa, Neolamarckia, Piliostigma, Prioria, Pterocarpus, Schleichera, Stereospermum, Syzygium, Tectona, Terminalia, Tetrameles, Tetrapilus, Woodfordia, Wrightia, Xantolis, Xylia, Ziziphus"
chota nagpur dry deciduous forests,"Adina, Albizia, Alstonia, Butea, Dalbergia, Diospyros, Dodonaea, Ficus, Garuga, Glochidion, Grewia, Holarrhena, Lagerstroemia, Lannea, Madhuca, Mallotus, Mangifera, Mitragyna, Ougeinia, Pterocarpus, Pterygota, Schleichera, Semecarpus, Shorea, Soymida, Terminalia"
orissa semi evergreen forests,"Adina, Alangium, Albizia, Alstonia, Aphanamixis, Artocarpus, Bridelia, Careya, Cassia, Celtis, Dillenia, Diospyros, Ficus, Firmiana, Glochidion, Grewia, Lannea, Litsea, Macaranga, Madhuca, Magnolia, Mallotus, Mangifera, Manilkara, Mesua, Morinda, Naringi, Phoebe, Polyalthia, Protium, Pterocarpus, Saraca, Schleichera, Shorea, Streblus, Strychnos, Syzygium, Terminalia, Xantolis, Xylia"
deccan thorn scrub forests,"Albizia, Aristida, Azadirachta, Balanites, Buchanania, Capparis, Cassia, Chloroxylon, Chrysopogon, Commiphora, Cordia, Cycas, Dactyloctenium, Dalbergia, Deccania, Dichanthium, Diospyros, Dolichandrone, Ficus, Gardenia, Givotia, Hardwickia, Heteropogon, Limonia, Madhuca, Morinda, Phoenix, Phyllanthus, Premna, Psilotum, Pterocarpus, Senegalia, Sterculia, Streblus, Syzygium, Terminalia, Vitex, Wrightia, Ziziphus"
east deccan moist deciduous forests,"Adina, Alangium, Albizia, Anogeissus, Arisaema, Artocarpus, Barringtonia, Boehmeria, Boswellia, Calamus, Cleistanthus, Crateva, Croton, Dalbergia, Dillenia, Diospyros, Elatostema, Ficus, Garuga, Gmelina, Gnetum, Heptapleurum, Hymenodictyon, Leucas, Melia, Microchirita, Neolamarckia, Protium, Rubus, Schleichera, Schrebera, Shorea, Stereospermum, Strobilanthes, Symplocos, Syzygium, Terminalia, Thalictrum, Toona, Trewia, Vitex, Zanthoxylum"
north western ghats moist deciduous forests,"Adina, Bombax, Careya, Dalbergia, Dillenia, Diospyros, Ficus, Holoptelea, Lagerstroemia, Macaranga, Mallotus, Mangifera, Melia, Meyna, Miliusa, Mitragyna, Neolamarckia, Piliostigma, Pterocarpus, Radermachera, Schleichera, Spondias, Strychnos, Syzygium, Tabernaemontana, Terminalia, Tetrameles, Xylia"
south deccan plateau dry deciduous forests,"Albizia, Anthoshorea, Boswellia, Butea, Cassia, Chloroxylon, Dalbergia, Deccania, Diospyros, Ficus, Hardwickia, Hildegardia, Lagerstroemia, Madhuca, Mallotus, Mitragyna, Monoon, Phyllanthus, Pongamia, Premna, Pterocarpus, Pterospermum, Santalum, Senegalia, Stereospermum, Syzygium, Terminalia, Vitex, Ziziphus"
central deccan plateau dry deciduous forests,"Albizia, Boswellia, Dalbergia, Diospyros, Lagerstroemia, Lannea, Pterocarpus, Senegalia, Tectona, Terminalia"
narmada valley dry deciduous forests,"Ailanthus, Bombax, Boswellia, Bridelia, Buchanania, Dendrocalamus, Diospyros, Ficus, Hardwickia, Holoptelea, Homonoia, Hymenodictyon, Kydia, Lagerstroemia, Lannea, Madhuca, Miliusa, Mitragyna, Ougeinia, Phanera, Salix, Shorea, Soymida, Stereospermum, Syzygium, Terminalia, Vitex, Wrightia"
lower gangetic plains moist deciduous forests,"Acrocarpus, Aegle, Aglaia, Ailanthus, Alangium, Albizia, Aphanamixis, Artocarpus, Bombax, Butea, Calamus, Casearia, Celtis, Cephalanthus, Crateva, Dalbergia, Dendrocalamus, Dillenia, Duabanga, Dysoxylum, Elaeocarpus, Ficus, Garuga, Gmelina, Grewia, Lagerstroemia, Lannea, Litsea, Macaranga, Machilus, Madhuca, Magnolia, Neolamarckia, Ochna, Phoenix, Pterocarpus, Pterospermum, Pterygota, Schima, Senegalia, Shorea, Spondias, Sterculia, Strychnos, Syzygium, Terminalia, Tetrameles, Themeda, Toona, Ziziphus"
himalayan subtropical broadleaved forests,"Albizia, Alsophila, Anogeissus, Bauhinia, Calamus, Castanopsis, Cycas, Engelhardtia, Gnetum, Mallotus, Olea, Pandanus, Phoenix, Rauvolfia, Schima, Shorea, Terminalia"
khathiar gir dry deciduous forests,"Aegle, Albizia, Bombax, Boswellia, Butea, Commiphora, Crateva, Dalbergia, Dicliptera, Diospyros, Ehretia, Euphorbia, Ficus, Flueggea, Gmelina, Grewia, Holoptelea, Kydia, Lannea, Mallotus, Mangifera, Miliusa, Mitragyna, Ougeinia, Phyllanthus, Protium, Salvadora, Sapindus, Schrebera, Senegalia, Soymida, Sterculia, Strobilanthes, Syzygium, Tecomella, Tectona, Terminalia, Vachellia, Veronica, Vitex, Wrightia, Ziziphus"
teraiaduar savanna and grasslands,"Garuga, Mallotus, Saccharum, Syzygium, Trewia, Tripidium"
aravalli west thorn scrub forests,"Aegle, Boswellia, Capparis, Cassia, Dichrostachys, Dicliptera, Diospyros, Gardenia, Grewia, Gymnosporia, Mitragyna, Prosopis, Rivea, Senegalia, Tamarix, Terminalia, Tinospora, Tragia, Vachellia, Vitis, Wrightia, Ziziphus"
brahmaputra valley semi evergreen forests,"Aphanamixis, Artocarpus, Bambusa, Cinnamomum, Dendrocalamus, Machilus, Melocanna, Mesua, Polyalthia, Shorea, Stereospermum, Syzygium, Terminalia, Tetrameles"
east deccan dry evergreen forests,"Aglaia, Albizia, Atalantia, Buchanania, Carissa, Catunaregam, Celtis, Chionanthus, Dalbergia, Dichrostachys, Diospyros, Drypetes, Elaeodendron, Ficus, Flacourtia, Garcinia, Lepisanthes, Manilkara, Mimusops, Pamburus, Pleiospermium, Psydrax, Pterospermum, Streblus, Strychnos, Syzygium, Walsura, Wrightia"
south western ghats montane rainforests,"Acalypha, Actinodaphne, Aglaia, Alseodaphne, Artocarpus, Arundinella, Bombax, Calophyllum, Canarium, Chrysopogon, Cinnamomum, Cullenia, Cymbopogon, Diospyros, Dipterocarpus, Dysoxylum, Elaeocarpus, Elaeodendron, Ficus, Garcinia, Gluta, Goniothalamus, Harpullia, Heptapleurum, Heritiera, Holigarna, Hopea, Hydnocarpus, Ilex, Knema, Lasianthus, Litsea, Machilus, Magnolia, Mahonia, Margaritaria, Melicope, Memecylon, Mesua, Microtropis, Monosis, Myristica, Myrsine, Nageia, Neolitsea, Nothopegia, Ormosia, Palaquium, Paracroton, Phoebe, Prioria, Prunus, Psychotria, Psydrax, Sehima, Strobilanthes, Symplocos, Syzigium, Syzygium, Ternstroemia, Themeda, Turpinia, Vateria, Xanthophyllum"
north western ghats montane rainforests,"Actinodaphne, Aglaia, Alseodaphne, Artocarpus, Caryota, Cinnamomum, Cleistanthus, Dimocarpus, Diospyros, Drypetes, Holigarna, Hopea, Humboldtia, Knema, Lagerstroemia, Macaranga, Machilus, Myristica, Nothopegia, Palaquium, Poeciloneuron, Polyalthia, Psydrax, Strombosia, Syzygium, Terminalia, Tetrapilus, Vateria, Xantolis"
mizorama manipura kachin rainforests,"Albizia, Anisoptera, Bombax, Dipterocarpus, Gmelina, Hopea, Parashorea, Shorea, Swintonia, Syzygium, Xylia"
eastern himalayan broadleaf forests,"Acer, Alnus, Betula, Cinnamomum, Exbucklandia, Juglans, Lithocarpus, Magnolia, Quercus, Rhododendron, Sloanea, Symplocos"
