                                                  Brahmaputra_Valley_semi_evergreen_forests.wkt	Western_Himalayan_broadleaf_forests.wkt	Northeast_Himalayan_subalpine_conifer_forests.wkt	South_Western_Ghats_montane_rain_forests.wkt	Narmada_Valley_dry_deciduous_forests.wkt	Mizoram_Manipur_Kachin_rain_forests.wkt	Khathiar_Gir_dry_deciduous_forests.wkt	Aravalli_west_thorn_scrub_forests.wkt	Maldives_Lakshadweep_Chagos_Archipelago_tropical_moist_forests.wkt	East_Deccan_moist_deciduous_forests.wkt	East_Deccan_dry_evergreen_forests.wkt	Central_Deccan_Plateau_dry_deciduous_forests.wkt	Eastern_Himalayan_broadleaf_forests.wkt	Central_Tibetan_Plateau_alpine_steppe.wkt	Terai_Duar_savanna_and_grasslands.wkt	Nicobar_Islands_rain_forests.wkt	Eastern_Himalayan_alpine_shrub_and_meadows.wkt	North_Western_Ghats_montane_rain_forests.wkt	Chhota_Nagpur_dry_deciduous_forests.wkt	Rann_of_Kutch_seasonal_salt_marsh.wkt	Northwestern_Himalayan_alpine_shrub_and_meadows.wkt	Upper_Gangetic_Plains_moist_deciduous_forests.wkt	North_Deccan_dry_deciduous_forests.wkt	Northeast_India_Myanmar_pine_forests.wkt	Sundarbans_mangroves.wkt	Karakoram_West_Tibetan_Plateau_alpine_steppe.wkt	Baluchistan_xeric_woodlands.wkt	Indus_River_Delta_Arabian_Sea_mangroves.wkt	Meghalaya_subtropical_forests.wkt	Chin_Hills_Arakan_Yoma_montane_forests.wkt	North_Western_Ghats_moist_deciduous_forests.wkt	Northern_Triangle_temperate_forests.wkt	Malabar_Coast_moist_forests.wkt	Andaman_Islands_rain_forests.wkt	Western_Himalayan_alpine_shrub_and_meadows.wkt	Eastern_Himalayan_subalpine_conifer_forests.wkt	Deccan_thorn_scrub_forests.wkt	Western_Himalayan_subalpine_conifer_forests.wkt	Lower_Gangetic_Plains_moist_deciduous_forests.wkt	South_Western_Ghats_moist_deciduous_forests.wkt	Thar_desert.wkt	Godavari_Krishna_mangroves.wkt	North_Tibetan_Plateau_Kunlun_Mountains_alpine_desert.wkt	Himalayan_subtropical_broadleaf_forests.wkt	South_Deccan_Plateau_dry_deciduous_forests.wkt	Orissa_semi_evergreen_forests.wkt	Sundarbans_freshwater_swamp_forests.wkt	Himalayan_subtropical_pine_forests.wkt
Brahmaputra_Valley_semi_evergreen_forests.wkt     	1.0000	0.1909	0.1275	0.2586	0.3015	0.5531	0.3021	0.2512	0.1880	0.3644	0.2653	0.3090	0.2770	0.0958	0.4421	0.1795	0.1218	0.2733	0.3536	0.2720	0.1090	0.2758	0.3559	0.3337	0.4642	0.0936	0.2036	0.3056	0.5898	0.3877	0.2916	0.2952	0.2330	0.2130	0.1160	0.1637	0.2919	0.1787	0.4791	0.2510	0.2284	0.2865	0.0889	0.4300	0.2702	0.3593	0.4580	0.3030
Western_Himalayan_broadleaf_forests.wkt           	0.1909	1.0000	0.2465	0.1489	0.1683	0.1928	0.1706	0.1728	0.1187	0.1705	0.1363	0.1556	0.3256	0.1555	0.1927	0.1162	0.2261	0.1461	0.1806	0.1593	0.2000	0.1749	0.1679	0.2642	0.1675	0.1522	0.2197	0.1571	0.1962	0.1987	0.1475	0.2987	0.1287	0.1234	0.2147	0.3614	0.1476	0.5905	0.1767	0.1390	0.1656	0.1411	0.1376	0.2367	0.1437	0.1560	0.1716	0.3250
Northeast_Himalayan_subalpine_conifer_forests.wkt 	0.1275	0.2465	1.0000	0.1117	0.1186	0.1308	0.1200	0.1221	0.0930	0.1188	0.1013	0.1119	0.1884	0.2591	0.1292	0.0907	0.6613	0.1100	0.1234	0.1155	0.2784	0.1212	0.1177	0.1649	0.1168	0.2193	0.1481	0.1118	0.1320	0.1355	0.1101	0.1763	0.0990	0.0959	0.4363	0.3555	0.1085	0.2529	0.1212	0.1051	0.1202	0.1039	0.2032	0.1486	0.1073	0.1115	0.1187	0.1723
South_Western_Ghats_montane_rain_forests.wkt      	0.2586	0.1489	0.1117	1.0000	0.2152	0.2995	0.2045	0.1648	0.2853	0.2444	0.3273	0.2472	0.1938	0.0852	0.2123	0.2669	0.1085	0.4485	0.2128	0.1917	0.0952	0.1761	0.2363	0.2336	0.2947	0.0828	0.1436	0.2448	0.2666	0.3236	0.4100	0.2006	0.4181	0.3651	0.1046	0.1389	0.3198	0.1383	0.2462	0.5602	0.1549	0.3015	0.0787	0.2167	0.4029	0.2986	0.2693	0.1885
Narmada_Valley_dry_deciduous_forests.wkt          	0.3015	0.1683	0.1186	0.2152	1.0000	0.3004	0.6799	0.3640	0.1638	0.4965	0.2644	0.4852	0.2070	0.0919	0.3761	0.1559	0.1135	0.2515	0.4965	0.5216	0.1032	0.4229	0.4817	0.2286	0.3180	0.0901	0.2387	0.4294	0.2696	0.2698	0.2784	0.2070	0.2063	0.1794	0.1074	0.1454	0.3345	0.1635	0.4145	0.2222	0.3119	0.2850	0.0860	0.2986	0.2674	0.3209	0.3753	0.2437
Mizoram_Manipur_Kachin_rain_forests.wkt           	0.5531	0.1928	0.1308	0.2995	0.3004	1.0000	0.2939	0.2334	0.1955	0.3642	0.2779	0.3156	0.2895	0.0969	0.3823	0.1851	0.1252	0.3183	0.3330	0.2640	0.1097	0.2545	0.3511	0.3743	0.4552	0.0940	0.1953	0.3073	0.5721	0.5379	0.3381	0.3037	0.2533	0.2276	0.1188	0.1701	0.3182	0.1787	0.4343	0.2809	0.2142	0.2980	0.0894	0.4145	0.3021	0.3707	0.4381	0.2967
Khathiar_Gir_dry_deciduous_forests.wkt            	0.3021	0.1706	0.1200	0.2045	0.6799	0.2939	1.0000	0.4183	0.1587	0.4856	0.2501	0.4415	0.2093	0.0931	0.4039	0.1504	0.1147	0.2371	0.5547	0.5957	0.1044	0.4792	0.4805	0.2284	0.3108	0.0912	0.2522	0.4009	0.2678	0.2611	0.2610	0.2085	0.1968	0.1726	0.1082	0.1470	0.3082	0.1667	0.4182	0.2106	0.3520	0.2724	0.0872	0.3091	0.2507	0.3098	0.3670	0.2498
Aravalli_west_thorn_scrub_forests.wkt             	0.2512	0.1728	0.1221	0.1648	0.3640	0.2334	0.4183	1.0000	0.1361	0.3138	0.1952	0.2851	0.1978	0.0965	0.3507	0.1305	0.1160	0.1824	0.3934	0.4328	0.1081	0.5802	0.3204	0.2042	0.2372	0.0949	0.3095	0.2801	0.2243	0.2099	0.1958	0.1948	0.1591	0.1441	0.1093	0.1462	0.2231	0.1737	0.3065	0.1681	0.5985	0.2104	0.0911	0.2789	0.1924	0.2358	0.2697	0.2449
Maldives_Lakshadweep_Chagos_Archipelago_tropical_moist_forests.wkt	0.1880	0.1187	0.0930	0.2853	0.1638	0.1955	0.1587	0.1361	1.0000	0.1825	0.2631	0.1854	0.1428	0.0742	0.1616	0.3959	0.0909	0.2425	0.1651	0.1533	0.0824	0.1435	0.1800	0.1625	0.2130	0.0728	0.1189	0.1856	0.1850	0.1955	0.2372	0.1484	0.3008	0.3779	0.0888	0.1106	0.2220	0.1122	0.1816	0.3101	0.1307	0.2412	0.0694	0.1581	0.2602	0.2217	0.1929	0.1423
East_Deccan_moist_deciduous_forests.wkt           	0.3644	0.1705	0.1188	0.2444	0.4965	0.3642	0.4856	0.3138	0.1825	1.0000	0.3115	0.5541	0.2179	0.0913	0.4152	0.1713	0.1137	0.2871	0.5734	0.4062	0.1029	0.3512	0.7865	0.2493	0.4211	0.0894	0.2180	0.4613	0.3145	0.3176	0.3226	0.2204	0.2334	0.2030	0.1079	0.1473	0.3892	0.1638	0.5511	0.2534	0.2799	0.3527	0.0852	0.3251	0.3078	0.4335	0.4963	0.2517
