longitude,latitude
76.29845,9.97955
76.04162,10.98408
76.69715,9.11334
75.98033,10.99248
76.62026,9.14102
77.07249,8.47173
75.45197,11.79484
77.07134,8.45665
76.58225,9.16075
76.94941,8.59425
76.78136,8.96729
76.76254,8.80151
75.98526,10.92167
77.405785,8.16063
75.48585,11.77325
75.44055,11.81159
76.10423,10.65675
75.57842,11.62616
76.80838,8.64327
76.83142,8.61095
76.10218,10.65284
76.77137,9.18342
76.85779,8.65662
76.6447,8.84015
76.245,10.18399
76.19693,10.84499
75.42914,11.82142
75.45584,11.78596
75.74766,11.53953
76.49381,9.62612
76.20728,10.87327
75.16018,12.22032
76.01963,11.02465
76.75868,8.79411
76.10211,10.6528
76.84794,8.62717
76.76555,8.91455
75.45307,11.79355
76.48094,9.40103
75.77005,11.56055
76.50723,9.60018
75.69835,11.43788
76.38512,10.11966
76.32989,10.1151
75.89109,10.96572
76.29231,10.01716
75.43261,11.81996
75.33342,11.9588
76.68607,8.83743
76.57499,9.38527
75.64978,11.49193
76.54088,9.62641
75.48924,11.79972
76.83255,8.62211
76.03959,10.98613
77.06984,8.45772
75.442,11.80907
76.03775,11.02916
76.8504,8.58177
76.83928,8.60723
76.32042,10.11443
76.51675,9.59824
76.93993,8.61528
75.6962,11.44433
75.69607,11.44465
76.29219,10.01751
76.76812,9.01218
76.24237,10.14991
76.50621,9.57764
76.57853,9.39771
76.0181,11.00592
76.25595,10.11954
76.28275,10.70102
76.60539,9.19208
76.366,10.02526
74.99592,12.50345
75.69602,11.44279
77.07274,8.45532
77.05285,8.34321
75.37235,11.88423
75.69482,11.43928
76.78137,8.96726
75.42978,11.82376
77.07786,8.45374
75.45252,11.794
76.64947,8.85064
76.03998,10.98551
76.4316,9.25272
76.51619,9.59695
75.48993,11.78262
75.49704,11.80975
75.1707,12.21802
75.92923,11.08383
76.46649,10.14289
75.41245,11.86114
75.39521,11.99293
75.35964,11.96842
76.04707,10.98316
76.53279,9.61368
77.07137,8.45656
76.44605,10.17865
75.36265,11.89553
76.26337,10.10483
75.08816,12.463
76.34797,9.47959
77.05079,8.35842
77.00463,8.60803
76.03629,10.94176
76.06116,10.56526
76.13489,10.80302
76.68122,9.08576
76.39561,9.75249
76.50314,9.36902
77.08523,8.50325
76.36018,10.08366
76.3261,10.10899
76.02031,11.01859
75.04593,12.38604
75.41893,11.84555
76.06564,10.48803
76.62219,8.9029
76.38939,10.11965
76.39622,10.11285
76.6797,8.80007
75.49703,11.80741
73.0316,19.01016
73.03264,19.007
76.67916,9.07273
76.65698,8.85315
76.64846,8.83568
76.65556,8.93991
75.49011,11.79777
73.030898,19.008954
76.78678,9.20075
76.75695,9.25172
77.04296,8.53024
75.98108,10.9962
76.25041,10.1557
76.61919,8.87235
76.39516,10.80228
76.70144,8.80506
76.33085,9.57098
76.46727,9.32952
76.64474,8.83995
75.45206,11.99495
76.31762,10.09157
76.46151,10.76059
75.36642,11.90884
77.05188,8.34387
76.64933,8.82792
75.41119,11.86316
76.38543,10.11831
76.60709,8.89657
76.70084,8.80435
76.68671,8.83529
76.78991,9.24685
76.61831,8.87562
76.39772,10.11401
76.78536,9.00502
76.76673,9.19944
76.66217,8.85089
72.9554,19.270073
76.3879,10.12019
76.30994,9.99793
76.31052,9.99702
73.72328,15.69487
72.8777,19.07083
76.39618,10.12098
76.6845,9.05031
76.3914,10.10879
72.81642,19.4519
76.32513,9.946745
72.87968,19.0704
76.00728,10.96248
75.39448,11.87121
75.49685,11.81868
75.76829,11.40837
76.69404,9.07261
75.769347,11.260924
75.98512,11.00049
72.85111,19.4383
76.68163,9.08589
72.87921,19.06562
76.251955,9.955284
76.65406,9.07888
76.38762,10.11718
76.64705,9.08054
75.4326,11.81999
76.73214,9.14362
72.87476,19.07232
75.98417,11.00941
72.85984,19.07223
75.98161,10.99824
76.33346,10.10897
76.26494,9.93068
76.40746,9.25845
76.64798,8.8256
76.31668,9.91582
76.68456,9.05036
76.35704,10.10037
72.86047,19.01865
76.84214,8.61265
76.6586,9.09178
76.334,10.12603
75.45628,11.78479
72.82702,19.41031
76.328076,10.058527
75.45713,11.78231
76.64814,8.82548
76.60429,8.94766
75.42976,11.82086
75.49202,11.8018
72.826728,19.053838
75.44125,11.81046
73.19101,17.7677
76.77375,8.73933
76.7726,8.75197
75.43836,11.81438
76.80311,8.75177
76.78673,8.78184
76.78716,8.7809
72.825853,19.052435
75.41762,11.84943
76.39645,10.77038
75.38415,11.87463
75.42117,11.82446
76.75836,8.75697
75.81563,11.24044
75.40386,11.86859
76.50597,9.59676
76.298327,10.017919
75.41984,11.82877
75.46709,11.7728
75.39265,11.86
75.44823,11.80038
76.66178,9.07376
75.42254,11.83924
75.42622,11.821
76.312334,10.028671
75.45544,11.79011
72.960307,19.172914
75.585,11.60233
76.64798,8.82558
72.824933,19.054732
76.5907,9.3823
76.65829,9.07383
76.21018,10.50514
76.81148,8.69634
75.44656,11.80348
75.3704,11.87427
75.37003,11.87409
76.312423,10.028544
76.72554,8.76023
76.58883,9.38448
75.39459,11.87149
72.829152,19.050208
76.59241,9.38461
75.37855,11.86159
76.298607,10.016622
75.99173,10.99894
76.81814,8.72392
73.74033,15.69986
76.5058,9.5973
77.07687,8.45147
75.36465,11.87458
75.37477,11.8785
77.11235,8.37744
77.06747,8.44488
77.08504,8.50241
75.40406,11.86827
75.37568,11.98683
77.06778,8.45596
77.07068,8.44566
72.84945,19.11814
76.66342,9.07485
76.3261,9.66183
75.41082,11.86404
77.07266,8.45557
77.07709,8.46068
75.4289,11.84838
77.04786,8.42948
75.35627,11.95882
76.61927,8.87562
75.40305,11.86889
76.51884,9.58586
77.0508,8.43296
77.07531,8.45302
77.06923,8.45602
75.41948,11.8442
75.37085,11.86633
72.8488,19.11825
75.36835,11.86735
75.38118,11.87408
75.42746,11.82862
75.32042,12.12504
77.07086,8.45711
77.07566,8.44907
76.67086,8.86595
75.36798,11.9075
76.8627,8.65488
75.31577,11.98106
72.827632,19.051948
77.0715,8.45753
77.04788,8.45047
76.63588,9.19783
77.07365,8.45427
77.07005,8.47252
77.07116,8.45988
77.07609,8.461
75.23743,12.09798
76.11867,10.86925
76.3253,9.73767
77.07288,8.44409
77.06701,8.46333
77.0674,8.46355
77.06599,8.43545
75.59,11.60553
76.20411,10.53611
77.0851,8.4798
77.07605,8.46098
75.38719,11.87426
77.06956,8.46
75.20452,12.10296
75.40404,11.86846
77.07665,8.46451
77.06655,8.46053
75.41699,11.85097
77.07082,8.46199
77.06673,8.48348
77.07187,8.46534
77.0759,8.46491
77.08556,8.46796
77.07714,8.45915
76.49011,9.33639
77.10314,8.48727
75.41277,11.86001
77.07267,8.44592
77.06787,8.44334
77.07482,8.45922
76.78993,9.03282
77.07609,8.46485
77.07414,8.48553
77.07183,8.45974
75.46541,11.7746
76.77067,9.18422
76.27355,10.74072
75.43991,11.81303
76.38789,10.07139
75.04686,12.52944
75.97601,10.95454
76.21428,10.49576
74.9869,12.49964
75.49291,11.80309
76.77088,9.18655
75.45779,11.78153
76.82308,8.78742
75.61824,11.52385
74.98693,12.4996
75.96543,10.92018
77.14315,8.39797
75.4555,11.78807
76.0259,11.02532
75.3931,11.8721
75.80897,11.20302
75.37164,11.87402
75.43296,11.82123
76.71349,9.04247
76.02636,11.02537
76.27977,10.78753
76.02557,11.02303
76.27642,10.73922
75.41994,11.8665
76.26542,10.52179
75.23479,12.0324
76.36518,10.0464
76.43527,9.94054
76.26866,10.73501
75.23392,12.03161
74.98707,12.49966
76.28963,10.12892
75.36127,12.03461
75.44001,11.81285
76.27602,10.7395
75.44697,11.80477
75.49682,11.80828
76.36621,10.03937
75.45738,11.78261
75.48597,11.7749
75.45406,11.79275
76.35287,9.99422
75.1615,12.20137
76.29176,10.32576
76.35039,10.09761
75.48908,11.77811
76.85755,8.667
76.30174,10.05346
75.39061,11.87309
75.41086,11.86201
76.42738,9.71215
76.5598,9.5622
76.29902,10.77577
76.42931,9.71008
76.324969,9.946733
76.26726,10.29648
76.1199,11.12027
75.64037,11.52166
76.40517,9.75079
77.12293,8.40545
76.69846,9.11295
76.63704,9.15493
74.98691,12.49974
76.73566,9.15277
76.08062,11.04131
75.43411,11.82141
76.57772,8.95919
75.53108,11.78546
76.41921,10.73083
76.56222,9.5888
76.08762,10.99445
74.98692,12.49982
76.57461,9.15882
74.99707,12.52825
75.89717,10.85629
76.54447,9.17503
76.53047,9.50311
76.39256,9.7595
76.11984,11.12084
76.67847,9.22499
76.65042,8.8116
75.53066,11.785
76.9989,8.48515
76.60004,9.14226
76.90279,8.64887
76.23784,10.54746
76.42646,9.71813
76.61714,9.14297
76.61688,9.15216
76.53243,8.99423
76.3072,9.89979
76.324955,9.946758
76.9987,8.48564
76.12765,10.3564
76.42384,9.69719
75.98204,10.94446
76.2401,11.00722
76.324956,9.946763
75.45228,11.79462
76.64955,9.04021
76.60099,9.17132
76.42464,10.78695
76.21468,10.98709
75.97245,11.25351
75.3376,11.92309
75.48192,11.77163
76.76834,9.02292
76.54044,8.99081
75.63811,11.52575
76.70118,8.80396
76.27966,10.40335
76.60825,9.18941
76.42924,9.70999
76.9573,8.48105
76.33948,9.49824
76.324923,9.946747
76.42916,9.69997
76.56331,9.37939
76.20672,10.11419
76.71638,8.73789
76.798,9.05214
76.2667,9.93176
74.98692,12.49994
76.63095,8.87286
75.92796,11.22539
77.07535,8.48743
75.59198,11.60156
77.08336,8.5025
75.3412,11.94647
76.94441,8.57239
76.31824,9.9682
75.98413,10.70277
76.64986,9.03995
76.25631,10.36283
75.449,11.7997
75.36675,11.87147
76.99881,8.48419
75.41201,11.86101
75.21706,12.12026
76.99866,8.4844
76.60806,9.17238
76.42792,9.71695
76.22906,10.13455
76.99848,8.4847
75.42755,11.82855
76.17388,10.59049
76.2347,10.25916
75.38886,11.87381
75.36647,12.02738
76.96426,8.65139
75.4328,11.82081
76.55464,9.17703
76.47775,10.11463
75.35283,11.93044
76.20445,10.43237
75.41011,11.86247
75.35714,11.96112
76.01831,11.02702
76.62827,9.67795
75.4898,11.79926
76.0711,11.05098
76.09194,11.05006
75.30785,11.99072
76.20298,10.97744
76.8573,9.06905
75.38956,11.87377
75.36999,11.87723
75.37081,11.86887
76.60135,9.17146
76.39556,10.05722
77.00057,8.4824
75.41059,11.86227
75.31624,11.98028
76.30795,10.01295
75.36571,11.87235
76.61945,9.18625
75.94408,10.96101
75.92657,11.23824
75.37114,11.86617
76.63543,9.11526
76.63249,9.12779
75.43554,11.81699
76.58199,9.36692
75.44401,11.90141
76.11834,10.86951
75.49043,11.7872
76.93729,8.52399
75.62721,11.50997
75.38868,11.87415
75.44673,11.80291
75.35424,11.90376
76.22616,10.4348
76.53226,8.99438
75.36891,11.87024
75.42616,11.84974
76.60551,9.16262
76.27734,10.34645
75.3935,11.95922
75.41164,11.90036
76.63115,9.10688
76.99921,8.48404
75.48759,11.77671
75.48992,11.79799
76.60907,9.16026
75.62647,11.51002
75.49061,11.78766
76.21116,10.53556
75.44082,11.94331
76.7686,9.31991
75.36722,11.87672
76.99974,8.48384
76.63944,9.08746
75.36956,11.87714
75.44717,11.80333
75.4186,11.84595
75.45505,11.79033
75.48582,11.77323
75.47013,11.77007
75.48479,11.753
75.46703,11.77359
76.10491,10.40252
76.65762,8.84359
76.60772,9.15945
76.54201,9.56152
76.59043,9.15347
75.41119,11.90051
76.6264,9.13583
76.28889,10.32695
76.81323,8.63162
75.55171,11.71566
75.38253,11.87425
76.67448,9.18297
76.67298,9.20323
76.65534,9.18681
76.84619,8.63586
75.3742,11.88018
76.77736,9.2582
76.67085,9.20285
75.81279,11.1843
76.60198,9.16612
76.64081,9.02178
76.60252,9.17182
75.5724,11.81143
76.28554,10.3289
76.83445,8.64187
75.49359,11.75146
75.54827,11.71666
75.48667,11.7504
76.65603,9.18099
75.37995,11.86728
75.64582,11.47937
75.48054,11.76066
76.95416,8.53876
76.59052,9.17465
76.33898,10.28293
75.4503,11.79832
76.64973,8.85087
76.6371,9.38485
76.81492,8.63143
75.49056,11.78469
75.48982,11.79921
77.43137,8.15175
74.69495,13.60031
75.5008,11.75327
75.35991,11.96509
76.63416,9.11383
76.01831,11.00558
75.47073,11.76987
72.84073,19.39994
75.47924,11.75787
76.28153,9.98527
75.45607,11.7896
76.64991,9.03875
76.93694,8.63932
75.392,11.87248
75.55359,11.70984
75.36767,11.87669
75.37977,11.87431
76.94461,8.48635
75.49023,11.78316
75.45507,11.7904
75.38192,11.87391
75.39232,11.87252
76.92102,8.55882
75.35327,11.92849
76.46108,9.30017
75.55919,11.81627
75.39302,11.87145
76.63768,9.09
76.95464,8.54102
75.47143,11.76974
75.41981,11.86867
76.6095,9.83662
75.48268,11.75635
75.56575,11.83213
76.63251,9.12673
75.56551,11.83188
76.84539,8.64262
76.01795,11.0053
75.48688,11.77462
75.44858,11.79972
75.48069,11.75908
75.37146,11.86699
76.32463,10.86195
76.82639,8.63946
76.37241,10.88541
75.50545,11.75659
76.52729,9.17713
76.53055,9.50315
76.29728,9.97633
76.49198,9.93609
76.37022,10.0194
75.7807,11.29389
75.49266,11.75091
76.65908,8.84281
76.31589,9.9408
75.49198,11.75075
76.32908,10.03016
76.57047,9.84062
76.60883,8.89635
75.38505,11.87444
73.18899,17.75746
75.77841,11.29277
75.59673,11.60998
76.58128,9.02602
75.5689,11.84354
76.66493,8.88763
76.33687,10.11464
76.44453,9.78612
76.60242,8.93039
76.27374,10.13424
75.7582,11.38221
75.37012,11.86714
75.04713,12.5298
76.32797,10.02772
76.11752,11.08507
76.3415,9.98381
76.32653,10.86204
76.59916,8.88569
75.69764,11.44287
76.32115,9.9906
76.6459,8.93207
76.35317,10.82298
76.31951,9.98472
76.6117,8.89871
75.3692,11.86763
75.4321,11.82095
75.68338,11.44831
76.65086,9.03448
76.3414,10.01512
75.45178,11.83468
75.77871,11.29388
76.29246,10.00758
75.46301,11.77752
75.77122,11.39326
76.2208,10.14138
75.77868,11.29383
76.6192,8.87295
76.63863,9.08897
76.42575,10.73649
75.45305,11.79356
76.75781,8.78772
76.65067,9.03585
75.38893,11.87377
75.36456,11.86712
76.34615,10.02449
76.15949,10.35449
75.77877,11.28692
76.33111,9.979
75.48851,11.77847
76.31425,9.98435
75.46266,11.7781
75.46541,11.77481
76.34553,9.99809
76.5911,9.38482
76.63405,9.12293
75.4845,11.75371
75.4858,11.7734
76.53828,9.06305
76.64617,9.05722
76.63067,8.89239
76.22183,10.86281
76.74157,9.13252
75.3051,11.99318
75.43676,11.81648
76.33761,10.01185
76.61999,8.8759
76.89139,8.54761
76.37191,10.81022
75.45338,11.79352
76.61497,9.1598
75.46341,11.7776
75.45531,11.78878
76.64422,9.02188
75.37148,11.86643
75.76106,11.3768
76.631,8.88038
75.38247,11.87397
75.51795,11.76728
76.63705,8.87263
76.6459,8.86784
76.75887,8.81235
76.15553,10.86945
75.44724,11.80278
76.27447,9.94289
76.42042,10.73019
76.53139,9.04105
76.3496,10.01444
75.4373,11.81505
75.26578,12.0281
76.40105,10.02832
75.50058,11.7556
73.77134,15.51295
74.98842,12.49338
76.81012,8.63438
76.82488,8.99847
76.82348,8.70041
76.51056,9.5962
76.37499,10.03199
76.6512,8.86631
76.7914,8.76285
75.48367,11.75388
75.41406,11.85398
75.37633,11.86661
75.35281,11.93042
76.64535,9.05508
76.65848,8.86492
76.34175,10.01637
75.49666,11.81041
75.40885,11.85385
76.73693,9.1326
75.40503,11.86724
75.41529,11.85762
76.63266,9.12669
76.63944,9.06812
76.497085,9.251076
76.57114,9.17609
75.77005,11.57113
76.93915,8.52538
76.77312,8.94307
75.41888,11.84555
76.61414,8.89321
75.47922,11.76805
76.7897,9.03255
76.6388,9.08046
75.49356,11.75066
76.59455,8.88031
76.63939,9.0866
76.66404,8.87711
76.64749,8.82584
76.2933,10.32682
76.64238,8.86469
