                                                  north deccan dry deciduous forests	upper gangetic plains moist deciduous forests	south western ghats moist deciduous forests	malabar coast moist forests	chota nagpur dry deciduous forests	orissa semi evergreen forests	deccan thorn scrub forests	east deccan moist deciduous forests	north western ghats moist deciduous forests	south deccan plateau dry deciduous forests	central deccan plateau dry deciduous forests	narmada valley dry deciduous forests	lower gangetic plains moist deciduous forests	himalayan subtropical broadleaved forests	khathiar gir dry deciduous forests	teraiaduar savanna and grasslands	aravalli west thorn scrub forests	brahmaputra valley semi evergreen forests	east deccan dry evergreen forests	south western ghats montane rainforests	north western ghats montane rainforests	mizorama manipura kachin rainforests	eastern himalayan broadleaf forests	indus river delta arabian sea mangroves	godavari krishna mangroves	thar desert	meghalaya subtropical forests
north deccan dry deciduous forests                	1.0000	0.1111	0.2069	0.1940	0.2667	0.1639	0.1475	0.1967	0.1800	0.2292	0.2424	0.2553	0.2121	0.0909	0.2586	0.0571	0.1277	0.1250	0.1132	0.0217	0.0714	0.0769	0.0000	0.0000	0.0000	0.0000	0.0000
upper gangetic plains moist deciduous forests     	0.1111	1.0000	0.0667	0.0943	0.1290	0.0889	0.0213	0.1087	0.1212	0.0571	0.1176	0.1212	0.0741	0.0833	0.0200	0.1538	0.0333	0.1500	0.0000	0.0000	0.0556	0.0526	0.0000	0.0000	0.0000	0.0000	0.0000
south western ghats moist deciduous forests       	0.2069	0.0667	1.0000	0.3333	0.2745	0.2344	0.1304	0.1571	0.3400	0.1754	0.1951	0.2182	0.2222	0.0566	0.2273	0.0465	0.0517	0.1042	0.0984	0.0851	0.1333	0.1111	0.0000	0.0000	0.0000	0.0000	0.0000
malabar coast moist forests                       	0.1940	0.0943	0.3333	1.0000	0.1905	0.2027	0.1000	0.1519	0.3509	0.1324	0.1132	0.1846	0.2250	0.0312	0.1667	0.0377	0.0597	0.0862	0.1000	0.1089	0.1818	0.0909	0.0000	0.0000	0.0137	0.0149	0.0000
chota nagpur dry deciduous forests                	0.2667	0.1290	0.2745	0.1905	1.0000	0.2941	0.1207	0.1525	0.2558	0.2558	0.2414	0.2273	0.2097	0.1026	0.2364	0.0667	0.0909	0.0526	0.0800	0.0230	0.0577	0.0571	0.0000	0.0000	0.0000	0.0000	0.0000
orissa semi evergreen forests                     	0.1639	0.0889	0.2344	0.2027	0.2941	1.0000	0.1449	0.1714	0.2593	0.1525	0.1111	0.1333	0.2361	0.0755	0.1389	0.0455	0.0690	0.1489	0.1333	0.0729	0.1129	0.0851	0.0196	0.0000	0.0156	0.0000	0.0000
deccan thorn scrub forests                        	0.1475	0.0213	0.1304	0.1000	0.1207	0.1449	1.0000	0.0946	0.0984	0.3400	0.1395	0.1552	0.1429	0.0769	0.1912	0.0227	0.1509	0.0392	0.1356	0.0303	0.0462	0.0417	0.0000	0.0000	0.0323	0.0545	0.0000
east deccan moist deciduous forests               	0.1967	0.1087	0.1571	0.1519	0.1525	0.1714	0.0946	1.0000	0.1667	0.1290	0.1064	0.1475	0.1818	0.1132	0.1831	0.0667	0.0492	0.0980	0.0769	0.0606	0.0758	0.0816	0.0189	0.0000	0.0000	0.0000	0.0000
north western ghats moist deciduous forests       	0.1800	0.1212	0.3400	0.3509	0.2558	0.2593	0.0984	0.1667	1.0000	0.1915	0.1515	0.1915	0.2031	0.0465	0.1864	0.0625	0.0638	0.0769	0.0980	0.0341	0.0962	0.0833	0.0000	0.0000	0.0000	0.0000	0.0000
south deccan plateau dry deciduous forests        	0.2292	0.0571	0.1754	0.1324	0.2558	0.1525	0.3400	0.1290	0.1915	1.0000	0.2667	0.2174	0.1846	0.0714	0.2500	0.0625	0.1628	0.0500	0.1200	0.0225	0.0755	0.0541	0.0000	0.0000	0.0392	0.0217	0.0000
